IsolateID,SamplingPeriod,Assets,Locations,Hospitals,Date
6929314,End,12/447 SHOWER,12 West,X,10-Dec-2014
6929313,End,12/444 SHOWER,12 West,X,10-Dec-2014
6929300,End,12/443 SHOWER,12 West,X,10-Dec-2014
6929311,End,12/440 SHOWER,12 West,X,10-Dec-2014
6929309,End,12/436 SHOWER,12 West,X,10-Dec-2014
6929315,End,12/435 WHB,12 West,X,10-Dec-2014
6929301,End,12/435 WHB,12 West,X,10-Dec-2014
6929312,End,12/430 SHOWER,12 West,X,10-Dec-2014
6929293,End,12/430 WHB,12 West,X,10-Dec-2014
6929292,End,12/429 SHOWER,12 West,X,10-Dec-2014
6929290,End,12/426 SHOWER,12 West,X,10-Dec-2014
6929244,End,S070-1-066_Visitor _W/C_WHB,GHHITU,Y,01-Dec-2014
6929243,End,S070-1-012,GHHITU,Y,01-Dec-2014
6929242,End,S070-1-006,GHHITU,Y,01-Dec-2014
6929247,End,S58.0.110_Sink,BHH3,Y,08-Dec-2014
6929246,End,S58.0.132_HT,BHH3,Y,08-Dec-2014
6929245,End,S58.0.132_CT,BHH3,Y,08-Dec-2014
6929156,Beginning,11/341/1 WHB,11 South,X,01-Sep-2014
6929185,Middle,11/451/3 SHOWER,11 West,X,29-Oct-2014
6929215,Middle,11/447/1 SHOWER,11 West,X,29-Oct-2014
6929194,Middle,11/444 SHOWER,11 West,X,29-Oct-2014
6929167,Middle,11/443/2 SHOWER,11 West,X,29-Oct-2014
6929162,Middle,11/443/2 WHB,11 West,X,29-Oct-2014
6929189,Middle,11/438 SHOWER,11 West,X,29-Oct-2014
6929159,Middle,11/252/2 SHOWER,11 South,X,28-Oct-2014
6929177,Middle,11/342/2 SHOWER,11 South,X,28-Oct-2014
6929188,Middle,11/339/2 SHOWER,11 South,X,28-Oct-2014
6929175,Middle,11/339/2 WHB,11 South,X,28-Oct-2014
6929193,Middle,11/336/2 SHOWER,11 South,X,28-Oct-2014
6929163,Middle,11/328/2 WHB,11 South,X,28-Oct-2014
6929187,Middle,11/205 WHB,11 East,X,28-Oct-2014
6929173,Middle,11/249 SHOWER,11 East,X,28-Oct-2014
6929178,Middle,11/237 SHOWER,11 East,X,28-Oct-2014
6929204,Middle,11/227 SHOWER,11 East,X,28-Oct-2014
6929168,Middle,12/447 SHOWER,12 West,X,28-Oct-2014
6929201,Middle,12/447 WHB,12 West,X,28-Oct-2014
6929186,Middle,12/444 SHOWER,12 West,X,28-Oct-2014
6929210,Middle,12/439 WHB,12 West,X,28-Oct-2014
6929206,Middle,12/436 WHB,12 West,X,28-Oct-2014
6929181,Middle,12/430 SHOWER,12 West,X,28-Oct-2014
6929176,Middle,12/430 WHB,12 West,X,28-Oct-2014
6929165,Middle,12/431 WHB,12 West,X,28-Oct-2014
6929196,Middle,12/426 SHOWER,12 West,X,28-Oct-2014
6929183,Middle,12/426 WHB,12 West,X,28-Oct-2014
6929226,Middle,12/424 SHOWER,12 West,X,28-Oct-2014
6929200,Middle,12/420 SHOWER,12 West,X,28-Oct-2014
6929213,Middle,12/420 WHB,12 West,X,28-Oct-2014
6929171,Middle,12/417 WHB,12 West,X,28-Oct-2014
6929180,Middle,12/343 SHOWER,12 South,X,27-Oct-2014
6929172,Middle,12/342 SHOWER,12 South,X,27-Oct-2014
6929164,Middle,12/336 WHB,12 South,X,27-Oct-2014
6929202,Middle,12/333 SHOWER,12 South,X,27-Oct-2014
6929203,Middle,12/333 WHB,12 South,X,27-Oct-2014
6929191,Middle,12/332 SHOWER,12 South,X,27-Oct-2014
6929195,Middle,12/329 SHOWER,12 South,X,27-Oct-2014
6929207,Middle,12/327 SHOWER,12 South,X,27-Oct-2014
6929208,Middle,12/323 SHOWER,12 South,X,27-Oct-2014
6929184,Middle,12/319 WHB,12 South,X,27-Oct-2014
6929160,Middle,12/245/2 SHOWER,12 East,X,27-Oct-2014
6929158,Middle,12/243/2 SHOWER,12 East,X,27-Oct-2014
6929170,Middle,12/242/2 SHOWER,12 East,X,27-Oct-2014
6929161,Middle,12/242/2 WHB,12 East,X,27-Oct-2014
6929197,Middle,12/238/2 SHOWER,12 East,X,27-Oct-2014
6929205,Middle,12/237/2 SHOWER,12 East,X,27-Oct-2014
6929212,Middle,12/236/2 SHOWER,12 East,X,27-Oct-2014
6929198,Middle,12/235/2 SHOWER,12 East,X,27-Oct-2014
6929157,Middle,12/235/2 WHB,12 East,X,27-Oct-2014
6929182,Middle,12/424 SHOWER,12 West,X,28-Oct-2014
6928975,End,04225,CC-D,W,06-Dec-2014
6928972,End,08290,CC-D,W,06-Dec-2014
6928969,End,04254,CC-D,W,06-Dec-2014
6928968,End,04256,CC-D,W,06-Dec-2014
6928967,End,04255,CC-D,W,06-Dec-2014
6928965,End,04265,CC-D,W,06-Dec-2014
6928963,End,04264,CC-D,W,06-Dec-2014
6928962,End,04268,CC-D,W,06-Dec-2014
6928958,End,04224,CC-D,W,06-Dec-2014
6928950,End,04236,CC-D,W,06-Dec-2014
6928945,End,07342,CC-D,W,06-Dec-2014
6928932,End,07335,CC-D,W,06-Dec-2014
6928925,End,04226,CC-D,W,06-Dec-2014
6928921,End,04238,CC-D,W,06-Dec-2014
6928920,End,04233,CC-D,W,06-Dec-2014
6929027,End,00404,CC-C,W,06-Dec-2014
6929024,End,00402,CC-C,W,06-Dec-2014
6929019,End,00401,CC-C,W,06-Dec-2014
6929017,End,00393,CC-C,W,06-Dec-2014
6929016,End,00395,CC-C,W,06-Dec-2014
6929011,End,00394,CC-C,W,06-Dec-2014
6929005,End,01412,CC-C,W,06-Dec-2014
6929003,End,00391,CC-C,W,06-Dec-2014
6928998,End,00449,CC-C,W,06-Dec-2014
6928996,End,00384,CC-C,W,06-Dec-2014
6928987,End,00396,CC-C,W,06-Dec-2014
6928985,End,00398,CC-C,W,06-Dec-2014
6928982,End,00387,CC-C,W,06-Dec-2014
6929152,End,00422,CC-B,W,09-Dec-2014
6929071,End,00442,CC-B,W,06-Dec-2014
6929069,End,00434,CC-B,W,06-Dec-2014
6929067,End,00427,CC-B,W,06-Dec-2014
6929150,End,00432,CC-B,W,06-Dec-2014
6929047,End,00432,CC-B,W,06-Dec-2014
6929046,End,00423,CC-B,W,06-Dec-2014
6929041,End,00436,CC-B,W,06-Dec-2014
6929040,End,07312,CC-B,W,06-Dec-2014
6929036,End,00461,CC-B,W,06-Dec-2014
6929035,End,00455,CC-B,W,06-Dec-2014
6929033,End,00445,CC-B,W,06-Dec-2014
6929149,End,00424,CC-B,W,06-Dec-2014
6929031,End,00424,CC-B,W,06-Dec-2014
6929029,End,00433,CC-B,W,06-Dec-2014
6929147,End,05929,CC-A,W,06-Dec-2014
6929134,End,05920,CC-A,W,06-Dec-2014
6929129,End,05924,CC-A,W,06-Dec-2014
6929123,End,05926,CC-A,W,06-Dec-2014
6929115,End,05946,CC-A,W,06-Dec-2014
6929113,End,05962,CC-A,W,06-Dec-2014
6929110,End,05938,CC-A,W,06-Dec-2014
6929106,End,05949,CC-A,W,06-Dec-2014
6929105,End,05955,CC-A,W,06-Dec-2014
6929104,End,05948,CC-A,W,06-Dec-2014
6929099,End,05943,CC-A,W,06-Dec-2014
6929096,End,05957,CC-A,W,06-Dec-2014
6929095,End,07306,CC-A,W,06-Dec-2014
6929094,End,07307,CC-A,W,06-Dec-2014
6929093,End,05961,CC-A,W,06-Dec-2014
6929089,End,05967,CC-A,W,06-Dec-2014
6929085,End,05939,CC-A,W,06-Dec-2014
6929081,End,05940,CC-A,W,06-Dec-2014
6929079,End,05941,CC-A,W,06-Dec-2014
6928896,Middle,B2W-GSOH,lhch-ITU,Z,03-Nov-2014
6928895,Middle,B2W-ML58,lhch-ITU,Z,03-Nov-2014
6928894,Middle,B2W-BQX5,lhch-ITU,Z,03-Nov-2014
6928893,Middle,B2W-5XLK,lhch-ITU,Z,03-Nov-2014
6928892,Middle,B2W-5XFB,lhch-ITU,Z,03-Nov-2014
6928891,Middle,B2W-5X82,lhch-ITU,Z,03-Nov-2014
6928890,Middle,B2W-K5SD,lhch-ITU,Z,03-Nov-2014
6928889,Middle,B2W-FSHH,lhch-ITU,Z,03-Nov-2014
6928888,Middle,B2W-FGTK,lhch-ITU,Z,03-Nov-2014
6928887,Middle,B2W-Q133,lhch-ITU,Z,03-Nov-2014
6928886,Middle,B2W-MV57,lhch-ITU,Z,03-Nov-2014
6928885,Middle,B2W-LFN7,lhch-ITU,Z,03-Nov-2014
6928881,Middle,D6L-7FR5,rluh-ITU,Z,03-Nov-2014
6928880,Middle,D6L-X0JZ,rluh-ITU,Z,03-Nov-2014
6928879,Middle,D6L-D72B,rluh-ITU,Z,03-Nov-2014
6928878,Middle,D6L-D72B,rluh-ITU,Z,03-Nov-2014
6928884,Middle,CBM-QKNL,rluh-HDU,Z,03-Nov-2014
6928883,Middle,CBM-QKNL,rluh-HDU,Z,03-Nov-2014
6928882,Middle,CBM-T3BX,rluh-HDU,Z,03-Nov-2014
6928711,Middle,04264,CC-D,W,28-Oct-2014
6928729,Middle,04225,CC-D,W,28-Oct-2014
6928728,Middle,04224,CC-D,W,28-Oct-2014
6928720,Middle,07337,CC-D,W,28-Oct-2014
6928718,Middle,04226,CC-D,W,28-Oct-2014
6928714,Middle,04231,CC-D,W,28-Oct-2014
6928712,Middle,04265,CC-D,W,28-Oct-2014
6928707,Middle,04255,CC-D,W,28-Oct-2014
6928706,Middle,04254,CC-D,W,28-Oct-2014
6928705,Middle,08290,CC-D,W,28-Oct-2014
6928744,Middle,04256,CC-D,W,27-Oct-2014
6928662,Middle,04256,CC-D,W,27-Oct-2014
6928743,Middle,07342,CC-D,W,27-Oct-2014
