SamplingPeriod,Assets,Locations,Hospitals,Date,Your reference number,Date isolate sent,Date isolate received (QEHB use only),Positive isolate ID (QEHB use only),Freezer box location,Test result,Users
End,05948,CC-A,W,06-Dec-2014,6929348,,,6929348,7.48,P. aeruginosa isolated,W2
Middle,00432,CC-B,W,23-Oct-2014,6929347,,,6929347,7.47,P. aeruginosa isolated,W2
Middle,05924,CC-A,W,21-Oct-2014,6929346,,,6929346,7.46,P. aeruginosa isolated,W2
Beginning,04260,CC-D,W,30-Aug-2014,6929340,,,6929340,7.40,P. aeruginosa isolated,W2
Beginning,05940,CC-A,W,30-Aug-2014,6929339,,,6929339,7.39,P. aeruginosa isolated,W2
Beginning,05924,CC-A,W,30-Aug-2014,6929338,,,6929338,7.38,P. aeruginosa isolated,W2
Beginning,00401,CC-C,W,30-Aug-2014,6929337,,,6929337,7.37,P. aeruginosa isolated,W2
Beginning,11/249 SHOWER,11 East,X,05-Sep-2014,86/38197,29-Sep-2014,29-Sep-2014,6928394,2.48,P.aeruginosa isolated,X2
Beginning,12/436 WHB,12 West,X,05-Sep-2014,86/38158,29-Sep-2014,29-Sep-2014,6928393,2.47,P.aeruginosa isolated,X2
Beginning,12/426 SHOWER,12 West,X,05-Sep-2014,86/32997,29-Sep-2014,29-Sep-2014,6928392,2.46,P.aeruginosa isolated,X2
Beginning,11/438 SHOWER,11West,X,05-Sep-2014,86/51757,29-Sep-2014,29-Sep-2014,6928391,2.45,P.aeruginosa isolated,X2
Beginning,11/443/2 SHOWER,11West,X,03-Sep-2014,86/51767,29-Sep-2014,29-Sep-2014,6928390,2.44,P.aeruginosa isolated,X2
Beginning,12/339 SHOWER,12 South,X,03-Sep-2014,86/32967,29-Sep-2014,29-Sep-2014,6928389,2.43,P.aeruginosa isolated,X2
Beginning,11/252/2 SHOWER,11 South,X,03-Sep-2014,86/45372,29-Sep-2014,29-Sep-2014,6928388,2.42,P.aeruginosa isolated,X2
Beginning,12/417 SHOWER,12 West,X,03-Sep-2014,86/32985,29-Sep-2014,29-Sep-2014,6928387,2.41,P.aeruginosa isolated,X2
Beginning,12/421 WHB,12 West,X,03-Sep-2014,86/32990,29-Sep-2014,29-Sep-2014,6928386,2.40,P.aeruginosa isolated,X2
Beginning,12/333 SHOWER,12 South,X,03-Sep-2014,86/32958,29-Sep-2014,29-Sep-2014,6928385,2.39,P.aeruginosa isolated,X2
Beginning,12/238/2 SHOWER,12 East,X,03-Sep-2014,86/27470,29-Sep-2014,29-Sep-2014,6928384,2.38,P.aeruginosa isolated,X2
Beginning,12/323 WHB,12 South,X,03-Sep-2014,86/32942,29-Sep-2014,29-Sep-2014,6928383,2.37,P.aeruginosa isolated,X2
Beginning,12/420 SHOWER,12 West,X,03-Sep-2014,86/32988,29-Sep-2014,29-Sep-2014,6928382,2.36,P.aeruginosa isolated,X2
Beginning,12/342 SHOWER,12 South,X,03-Sep-2014,86/32970,29-Sep-2014,29-Sep-2014,6928381,2.35,P.aeruginosa isolated,X2
Beginning,12/243/2 SHOWER,12 East,X,03-Sep-2014,86/27485,29-Sep-2014,29-Sep-2014,6928380,2.34,P.aeruginosa isolated,X2
Beginning,12/237/2 SHOWER,12 East,X,03-Sep-2014,86/27466,29-Sep-2014,29-Sep-2014,6928379,2.33,P.aeruginosa isolated,X2
Beginning,12/329 SHOWER,12 South,X,03-Sep-2014,86/32952,29-Sep-2014,29-Sep-2014,6928378,2.32,P.aeruginosa isolated,X2
Beginning,12/236/2 SHOWER,12 East,X,03-Sep-2014,86/27462,29-Sep-2014,29-Sep-2014,6928377,2.31,P.aeruginosa isolated,X2
Beginning,12/242/2 SHOWER,12 East,X,03-Sep-2014,86/27481,29-Sep-2014,29-Sep-2014,6928376,2.30,P.aeruginosa isolated,X2
Beginning,11/339/2 SHOWER,11 South,X,03-Sep-2014,86/45352,29-Sep-2014,29-Sep-2014,6928375,2.29,P.aeruginosa isolated,X2
Beginning,12/235/2 SHOWER,12 East,X,02-Sep-2014,86/27458,29-Sep-2014,29-Sep-2014,6928374,2.28,P.aeruginosa isolated,X2
Beginning,11/336/1 WHB,11 South,X,02-Sep-2014,86/45338,29-Sep-2014,29-Sep-2014,6928373,2.27,P.aeruginosa isolated,X2
Beginning,11/342/2 SHOWER,11 South,X,02-Sep-2014,86/45364,29-Sep-2014,29-Sep-2014,6928372,2.26,P.aeruginosa isolated,X2
Beginning,12/435 WHB,12 West,X,02-Sep-2014,86/38155,29-Sep-2014,29-Sep-2014,6928371,2.25,P.aeruginosa isolated,X2
Beginning,11/337/2 SHOWER,11 South,X,02-Sep-2014,86/45344,29-Sep-2014,29-Sep-2014,6928370,2.24,P.aeruginosa isolated,X2
Beginning,11/333/1 WHB,11 South,X,02-Sep-2014,86/45331,29-Sep-2014,29-Sep-2014,6928369,2.23,P.aeruginosa isolated,X2
Beginning,12/443 SHOWER,12 West,X,02-Sep-2014,86/38168,29-Sep-2014,29-Sep-2014,6928368,2.22,P.aeruginosa isolated,X2
Beginning,11/337 WHB,11 South,X,02-Sep-2014,86/45341,29-Sep-2014,29-Sep-2014,6928367,2.21,P.aeruginosa isolated,X2
Beginning,11/336/2 SHOWER,11 South,X,02-Sep-2014,86/45340,29-Sep-2014,29-Sep-2014,6928366,2.20,P.aeruginosa isolated,X2
Beginning,11/450/1 SHOWER,11West,X,02-Sep-2014,86/51784,29-Sep-2014,29-Sep-2014,6928365,2.19,P.aeruginosa isolated,X2
Beginning,12/447 WHB,12 West,X,02-Sep-2014,86/38173,29-Sep-2014,29-Sep-2014,6928364,2.18,P.aeruginosa isolated,X2
Beginning,12/246/2 SHOWER,12 East,X,02-Sep-2014,86/27497,29-Sep-2014,29-Sep-2014,6928363,2.17,P.aeruginosa isolated,X2
Beginning,12/327 SHOWER,12 South,X,02-Sep-2014,86/32949,29-Sep-2014,29-Sep-2014,6928362,2.16,P.aeruginosa isolated,X2
Beginning,12/245/2 SHOWER,12 East,X,02-Sep-2014,86/27493,29-Sep-2014,29-Sep-2014,6928361,2.15,P.aeruginosa isolated,X2
Beginning,12/336 WHB,12 South,X,02-Sep-2014,86/32960,29-Sep-2014,29-Sep-2014,6928360,2.14,P.aeruginosa isolated,X2
Beginning,12/424 SHOWER,12 West,X,02-Sep-2014,86/32994,29-Sep-2014,29-Sep-2014,6928359,2.13,P.aeruginosa isolated,X2
